ID,Latitude,Longitude,Depth,Slope,Avg_Laser_Dist,Substrate
0011,-64.930714,-57.81425867,430.73,1.603111744,1489.3301328433545,"soft"
0204,-64.9353845,-57.80094917,433.61,3.289757967,1360.7515631631884,"soft"
0834,-64.93129133,-57.81240617,435.31,3.126952887,1441.612557665836,"soft"
0144,-64.93584867,-57.79983783,433.16,1.501890182,1448.9147811858513,"soft"
0020,-64.9302975,-57.81548,430.72,,1431.9655647698455,"soft"
0607,-64.93202367,-57.809004,443.49,,1236.334252845188,"soft"
0358,-64.93430933,-57.80381417,434.01,0.394963831,1205.6243104805765,"soft"
0010,-64.937148,-57.79698533,431.79,,1336.9671169308504,"soft"
0514,-64.93331717,-57.80669233,436.66,4.81359911,1476.933320238113,"soft"
0024,-64.93604283,-57.79839667,439.21,57.7689743,1208.6322926714802,"soft"
0584,-64.93284117,-57.80812333,436.66,4.568964958,1240.1357139635304,"soft"
0078,-64.93628217,-57.79876317,433.12,4.386464119,1478.2748065638207,"soft"
0026,-64.93601067,-57.79844333,439.17,79.03149414,1229.1127765938459,"soft"
0052,-64.93017817,-57.81583867,430.63,14.61924076,1310.6288369855968,"soft"
0104,-64.93887267,-57.79280333,429.91,5.316304684,1246.1076614982978,"soft"
0225,-64.93790383,-57.79519717,430.75,4.227434158,1247.6165954794226,"soft"
0138,-64.93861917,-57.7934075,430.35,3.94760108,1239.6346352838816,"soft"
0361,-64.9336165,-57.8044465,435.795,,1142.2493789375246,"soft"
0196,-64.93816183,-57.79462217,430.82,1.765930295,1077.264121819846,"soft"
0172,-64.935628,-57.80033733,433.18,4.663838863,1364.7688155631172,"soft"
0662,-64.93232233,-57.80963067,436.78,2.472693205,1115.506927182097,"soft"
0261,-64.93755883,-57.79595283,431.36,4.035272121,1077.121450361122,"soft"
0128,-64.938662,-57.79322817,430.77,5.600317478,1210.0779501971576,"soft"
0363,-64.93357117,-57.80447667,441.04,,1143.5678469164789,"soft"
0602,-64.932715,-57.80844783,436.55,4.579146385,1281.8371716141573,"soft"
0044,-64.93654183,-57.79823967,432.45,2.409329653,1381.468227993323,"soft"
0591,-64.93213,-57.80872367,443.53,,1256.5262769495876,"soft"
0857,-64.93118767,-57.81290733,433.97,,1016.2246454811417,"soft"
0127,-64.93530183,-57.8000285,439.98,52.53743744,1517.359514625609,"soft"
0027,-64.93601067,-57.79844333,439.17,79.03149414,1230.9687857324382,"soft"
0190,-64.9380035,-57.79293883,422.55,,1178.3143425579067,"soft"
0055,-64.93934917,-57.79156583,427.86,3.797879219,678.4338641388355,"soft"
0253,-64.93764433,-57.7958085,431.11,5.32601738,1262.2655330056812,"soft"
0081,-64.93906483,-57.79230533,429.96,3.436632872,1331.9468500289292,"soft"
0456,-64.93366667,-57.80562683,435.97,1.838422656,1602.2135748104054,"soft"
0133,-64.93799917,-57.7938015,437.66,7.502713203,1211.086821307705,"soft"
0121,-64.93601133,-57.79944433,433.0,4.112646103,1699.6628886933386,"soft"
0001,-64.9365915,-57.79717367,436.79,7.287438393,635.5194392790764,"soft"
0717,-64.93198483,-57.81062783,436.67,16.14374733,1011.5687392316974,"soft"
0609,-64.9326705,-57.80858983,436.58,10.88760567,1223.324461383125,"soft"
0592,-64.932781,-57.808288,436.71,30.87013245,1254.6081633754638,"soft"
0187,-64.93822083,-57.79443683,430.48,5.268499851,1052.9893137319411,"soft"
0112,-64.9360695,-57.799297,432.69,2.908811331,1449.836686990161,"soft"
0790,-64.931542,-57.811861,435.55,6.369616985,1159.701226638972,"soft"
0697,-64.93211317,-57.8102645,436.7,1.856580138,1280.092675148963,"soft"
0804,-64.93147883,-57.8120435,435.3,2.049084425,1311.9570866091146,"soft"
0531,-64.93317233,-57.80708217,436.06,25.82553291,941.2339933830609,"soft"
0002,-64.93694567,-57.79739517,432.0,5.833110809,1386.4116781760204,"soft"
0420,-64.9339115,-57.804961,435.53,0.393412709,1303.488305611634,"soft"
0336,-64.93446733,-57.80339583,434.06,0.647164226,1321.491722335778,"soft"
0302,-64.93468717,-57.8027735,434.26,4.605582237,1389.960247328384,"soft"
0232,-64.93516467,-57.8015165,433.91,2.91497159,1411.2005294595601,"soft"
0383,-64.93415217,-57.80427867,434.07,7.971014023,912.5977214537612,"soft"
0156,-64.93575617,-57.80004483,432.94,1.546676636,1235.2717876027748,"soft"
0003,-64.930989,-57.8134825,433.49,12.85563755,1548.1264161911113,"soft"
0480,-64.9335385,-57.8060455,435.6,1.117002606,1456.585188549183,"soft"
0021,-64.936722,-57.79785217,432.4,7.997578621,1255.1558417884653,"soft"
0154,-64.93512583,-57.80047017,439.17,80.37656403,1250.1949961699984,"soft"
0167,-64.93838067,-57.79394717,430.48,4.38222599,1236.4434997742135,"soft"
0268,-64.93491133,-57.80219633,433.98,2.902099848,1598.1227731045162,"soft"
0148,-61.19231867,-50.99663333,1786.04,12.60266781,941.1245980648237,"hard"
1011,-61.20066967,-51.07459017,1998.44,11.63359928,913.5521209405224,"hard"
0381,-61.20339167,-51.02371433,2202.1,44.09062195,584.3447676261275,"hard"
0470,-61.20339267,-51.03139967,2036.54,38.20675659,521.3644554834926,"hard"
0828,-61.20073533,-51.063581,2132.26,26.20965767,812.6966770009922,"hard"
1224,-61.1934045,-51.08409517,1670.24,7.142056942,986.0838579890396,"hard"
0853,-61.20089117,-51.06564,2117.2,55.94144058,1070.9544235867363,"hard"
1208,-61.19372217,-51.08353983,1673.74,3.378386021,549.6247828430023,"hard"
1023,-61.20026117,-51.07478067,1984.47,42.85401154,787.4563718357413,"hard"
1139,-61.1954105,-51.07938717,1691.95,14.98544312,500.54747275867226,"hard"
1134,-61.19556483,-51.0790775,1693.01,2.048563004,446.3232540286744,"hard"
0816,-61.20076783,-51.062655,2137.95,50.53118515,842.5317297901447,"hard"
1106,-61.19642617,-51.0774665,1714.55,9.141809464,799.4502904079095,"hard"
1220,-61.193535,-51.0839275,1672.34,4.598031998,473.19282555538865,"hard"
0859,-61.20095417,-51.0660495,2110.82,16.53401375,601.707500879592,"hard"
1185,-61.19414617,-51.08252817,1674.94,2.751579046,683.5145658874418,"hard"
0188,-61.19289733,-51.000069,1835.57,59.75862122,650.6155107942503,"hard"
1195,-61.193896,-51.08308333,1673.01,4.445824623,457.41385334061016,"hard"
0178,-61.192735,-50.99918717,1822.7,20.99954033,631.3763057657701,"hard"
0926,-61.20177433,-51.07070933,2122.09,29.83094788,618.1995868261403,"hard"
0266,-61.202149,-51.01398533,2181.61,58.57384109,633.6113407933711,"hard"
0231,-61.20235733,-51.0111535,2187.52,6.918550491,478.5318082225352,"hard"
0282,-61.20230083,-51.01528567,2188.56,18.64724541,685.2469464137429,"hard"
0459,-61.20344483,-51.0303915,2042.14,18.66495132,502.5488771046642,"hard"
0310,-61.20256533,-51.01756617,2189.17,22.25212669,541.5620769354591,"hard"
0700,-61.20176333,-51.052968,2149.23,5.861181736,605.1202618216782,"hard"
1124,-61.19584367,-51.07838067,1699.18,29.36374092,399.06362074556273,"hard"
0494,-61.20327083,-51.03363717,2033.89,35.71401596,609.995759226846,"hard"
0738,-61.20130117,-51.05574767,2129.51,17.85910606,706.5478334458711,"hard"
0956,-61.2018675,-51.072637,2095.48,70.1924057,968.5299147832721,"hard"
0942,-61.20187917,-51.07173833,2112.13,22.25212669,684.8995361015258,"hard"
0455,-61.20344733,-51.0300545,2047.31,45.38218689,590.262354008232,"hard"
0734,-61.20164883,-51.05601117,2133.74,21.56620598,1112.5212229370638,"hard"
0315,-61.202625,-51.01794283,2188.62,15.00178432,581.7183289771675,"hard"
0555,-61.20272967,-51.03935017,2142.02,30.68185425,528.2380578855302,"hard"
0458,-61.20344633,-51.03029333,2044.61,45.63620758,660.9934480261235,"hard"
0590,-61.20248717,-51.04272417,2032.04,3.094991684,627.2028659406515,"hard"
